"시","자치구","행정동","행정동코드","인구수","면적크기","인구밀도","축구장면적당인구수(7140㎡)"
"서울특별시","종로구","사직동","1111053000","8893","1.23","7230.081301","51.62"
"서울특별시","종로구","삼청동","1111054000","2095","1.49","1406.040268","10.04"
"서울특별시","종로구","부암동","1111055000","8874","2.27","3909.251101","27.91"
"서울특별시","종로구","평창동","1111056000","16986","8.87","1914.994363","13.67"
"서울특별시","종로구","무악동","1111057000","7694","0.36","21372.222222","152.6"
"서울특별시","종로구","교남동","1111058000","9462","0.35","27034.285714","193.02"
"서울특별시","종로구","가회동","1111060000","3567","0.54","6605.555556","47.16"
"서울특별시","종로구","종로1.2.3.4가동","1111061500","6659","2.35","2833.617021","20.23"
"서울특별시","종로구","종로5.6가동","1111063000","5421","0.6","9035","64.51"
"서울특별시","종로구","이화동","1111064000","7049","0.78","9037.179487","64.53"
"서울특별시","종로구","혜화동","1111065000","15764","1.12","14075","100.5"
"서울특별시","종로구","창신1동","1111067000","4393","0.31","14170.967742","101.18"
"서울특별시","종로구","창신2동","1111068000","7134","0.26","27438.461538","195.91"
"서울특별시","종로구","창신3동","1111069000","6089","0.23","26473.913043","189.02"
"서울특별시","종로구","숭인1동","1111070000","5673","0.23","24665.217391","176.11"
"서울특별시","종로구","숭인2동","1111071000","10265","0.35","29328.571429","209.41"
"서울특별시","종로구","청운효자동","1111051500","10799","2.57","4201.945525","30"
"서울특별시","중구","소공동","1114052000","2198","0.95","2313.684211","16.52"
"서울특별시","중구","회현동","1114054000","4074","0.84","4850","34.63"
"서울특별시","중구","명동","1114055000","2483","0.99","2508.080808","17.91"
"서울특별시","중구","필동","1114057000","4337","1.14","3804.385965","27.16"
"서울특별시","중구","장충동","1114058000","4571","1.36","3361.029412","24"
"서울특별시","중구","광희동","1114059000","5717","0.74","7725.675676","55.16"
"서울특별시","중구","을지로동","1114060500","3038","0.6","5063.333333","36.15"
"서울특별시","중구","신당동","1114061500","7332","0.55","13330.909091","95.18"
"서울특별시","중구","다산동","1114062500","12979","0.51","25449.019608","181.71"
"서울특별시","중구","약수동","1114063500","15672","0.48","32650","233.12"
"서울특별시","중구","청구동","1114064500","10687","0.34","31432.352941","224.43"
"서울특별시","중구","신당5동","1114065000","9937","0.39","25479.487179","181.92"
"서울특별시","중구","동화동","1114066500","9722","0.26","37392.307692","266.98"
"서울특별시","중구","황학동","1114067000","13166","0.33","39896.969697","284.86"
"서울특별시","중구","중림동","1114068000","11849","0.48","24685.416667","176.25"
"서울특별시","용산구","후암동","1117051000","15655","0.86","18203.488372","129.97"
"서울특별시","용산구","용산2가동","1117052000","8446","1.96","4309.183673","30.77"
"서울특별시","용산구","남영동","1117053000","6998","1.19","5880.672269","41.99"
"서울특별시","용산구","원효로2동","1117057000","13369","0.71","18829.577465","134.44"
"서울특별시","용산구","효창동","1117058000","10393","0.44","23620.454545","168.65"
"서울특별시","용산구","용문동","1117059000","11033","0.28","39403.571429","281.34"
