"기준_년분기_코드","행정동_코드","행정동_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","프랜차이즈_점포_수"
"20254","1111051500","청운효자동","SC01","외식/카페","340","346","6"
"20254","1111051500","청운효자동","SC02","소매/유통","308","327","19"
"20254","1111051500","청운효자동","SC03","생활서비스","128","132","4"
"20254","1111051500","청운효자동","SC04","교육/의료/전문서비스","62","63","1"
"20254","1111051500","청운효자동","SC05","여가/오락/숙박","79","79","0"
"20254","1111053000","사직동","SC01","외식/카페","923","1065","142"
"20254","1111053000","사직동","SC02","소매/유통","630","679","49"
"20254","1111053000","사직동","SC03","생활서비스","246","253","7"
"20254","1111053000","사직동","SC04","교육/의료/전문서비스","289","290","1"
"20254","1111053000","사직동","SC05","여가/오락/숙박","567","569","2"
"20254","1111054000","삼청동","SC01","외식/카페","261","289","28"
"20254","1111054000","삼청동","SC02","소매/유통","333","349","16"
"20254","1111054000","삼청동","SC03","생활서비스","48","48","0"
"20254","1111054000","삼청동","SC04","교육/의료/전문서비스","29","30","1"
"20254","1111054000","삼청동","SC05","여가/오락/숙박","43","43","0"
"20254","1111055000","부암동","SC01","외식/카페","128","139","11"
"20254","1111055000","부암동","SC02","소매/유통","147","158","11"
"20254","1111055000","부암동","SC03","생활서비스","69","76","7"
"20254","1111055000","부암동","SC04","교육/의료/전문서비스","56","57","1"
"20254","1111055000","부암동","SC05","여가/오락/숙박","35","35","0"
"20254","1111056000","평창동","SC01","외식/카페","121","145","24"
"20254","1111056000","평창동","SC02","소매/유통","243","258","15"
"20254","1111056000","평창동","SC03","생활서비스","133","135","2"
"20254","1111056000","평창동","SC04","교육/의료/전문서비스","87","87","0"
"20254","1111056000","평창동","SC05","여가/오락/숙박","51","51","0"
"20254","1111057000","무악동","SC01","외식/카페","28","42","14"
"20254","1111057000","무악동","SC02","소매/유통","46","51","5"
"20254","1111057000","무악동","SC03","생활서비스","42","43","1"
"20254","1111057000","무악동","SC04","교육/의료/전문서비스","34","35","1"
"20254","1111057000","무악동","SC05","여가/오락/숙박","17","17","0"
"20254","1111058000","교남동","SC01","외식/카페","56","101","45"
"20254","1111058000","교남동","SC02","소매/유통","107","125","18"
"20254","1111058000","교남동","SC03","생활서비스","65","69","4"
"20254","1111058000","교남동","SC04","교육/의료/전문서비스","47","48","1"
"20254","1111058000","교남동","SC05","여가/오락/숙박","20","22","2"
"20254","11110600","가회동","SC01","외식/카페","235","262","27"
"20254","11110600","가회동","SC02","소매/유통","204","214","10"
"20254","11110600","가회동","SC03","생활서비스","69","70","1"
"20254","11110600","가회동","SC04","교육/의료/전문서비스","23","23","0"
"20254","11110600","가회동","SC05","여가/오락/숙박","79","81","2"
"20254","1111061500","종로1?2?3?4가동","SC01","외식/카페","2260","2603","343"
"20254","1111061500","종로1?2?3?4가동","SC02","소매/유통","5546","5689","143"
"20254","1111061500","종로1?2?3?4가동","SC03","생활서비스","523","531","8"
"20254","1111061500","종로1?2?3?4가동","SC04","교육/의료/전문서비스","580","585","5"
"20254","1111061500","종로1?2?3?4가동","SC05","여가/오락/숙박","968","979","11"
"20254","1111063000","종로5?6가동","SC01","외식/카페","468","531","63"
"20254","1111063000","종로5?6가동","SC02","소매/유통","1006","1033","27"
"20254","1111063000","종로5?6가동","SC03","생활서비스","149","151","2"
"20254","1111063000","종로5?6가동","SC04","교육/의료/전문서비스","159","159","0"
"20254","1111063000","종로5?6가동","SC05","여가/오락/숙박","91","91","0"
"20254","1111064000","이화동","SC01","외식/카페","286","381","95"
"20254","1111064000","이화동","SC02","소매/유통","236","265","29"
"20254","1111064000","이화동","SC03","생활서비스","65","69","4"
"20254","1111064000","이화동","SC04","교육/의료/전문서비스","44","49","5"
"20254","1111064000","이화동","SC05","여가/오락/숙박","44","46","2"
"20254","1111065000","혜화동","SC01","외식/카페","567","693","126"
