id,호선,역번호,출발역,latitude,longitude,출근시간_혼잡도합,퇴근시간_혼잡도합
1,1호선,150,서울역,37.555946,126.972317,182.85000000000002,239.85000000000002
2,1호선,151,시청,37.5657037,126.9768616,148.85,247.60000000000002
3,1호선,152,종각,37.570176,126.983197,134.9,232.6
4,1호선,153,종로3가,37.570436,126.992148,162.85,212.9
5,1호선,154,종로5가,37.570988,127.001921,160.05,215.0
6,1호선,155,동대문,37.571731,127.011069,166.55,197.45000000000002
7,1호선,156,신설동,37.5749456,127.0255567,140.3,177.5
8,1호선,157,제기동,37.5781758,127.0345907,129.6,169.89999999999998
9,1호선,158,청량리,37.581381,127.048958,118.3,148.65
10,1호선,159,동묘앞,37.573246,127.016589,151.29999999999998,184.55
11,2호선,201,시청,37.5657037,126.9768616,167.55,283.34999999999997
12,2호선,202,을지로입구,37.566065,126.982679,152.05,291.0
13,2호선,203,을지로3가,37.566288,126.991051,167.95,267.0
14,2호선,204,을지로4가,37.566621,126.997733,168.75000000000003,264.55
15,2호선,205,동대문역사문화공원,37.565682,127.008953,194.9,267.25
16,2호선,206,신당,37.5579144,127.01367,202.29999999999998,286.4
17,2호선,207,상왕십리,37.5645,127.028872,202.45,291.59999999999997
18,2호선,208,왕십리,37.568832,127.0252724,188.70000000000002,247.95
19,2호선,209,한양대,37.5555961,127.0436859,142.70000000000002,229.70000000000002
20,2호선,210,뚝섬,37.547206,127.047405,127.64999999999999,229.85
21,2호선,211,성수,37.5406846,127.0566319,59.7,117.4
22,2호선,212,건대입구,37.540372,127.069276,155.15,185.7
23,2호선,213,구의,37.5444007,127.092844,143.9,189.9
24,2호선,214,강변,37.535098,127.094695,143.95,190.45
25,2호선,215,잠실나루,37.520669,127.103839,140.29999999999998,193.10000000000002
26,2호선,216,잠실,37.5132612,127.1001336,172.64999999999998,192.05
27,2호선,217,잠실새내,37.511624,127.085585,183.55,227.05
28,2호선,218,종합운동장,37.511037,127.073674,190.54999999999998,230.39999999999998
29,2호선,219,삼성,37.508861,127.063149,162.25,281.79999999999995
30,2호선,220,선릉,37.504487,127.048957,210.45,308.9
31,2호선,221,역삼,37.5000776,127.0385419,211.29999999999998,358.45
32,2호선,222,강남,37.497952,127.027619,236.20000000000002,353.9
33,2호선,223,교대,37.4934705,127.01422849999996,267.09999999999997,356.65000000000003
34,2호선,224,서초,37.4883869,127.0167954,267.25,354.2
35,2호선,225,방배,37.4794939,126.9931207,271.45,352.15
36,2호선,226,사당,37.476559,126.981633,274.70000000000005,321.6
37,2호선,227,낙성대,37.477117,126.963418,247.0,306.75
38,2호선,228,서울대입구,37.48121,126.952712,230.15000000000003,285.09999999999997
39,2호선,229,봉천,37.482476,126.941574,215.3,269.2
40,2호선,230,신림,37.4631968,126.9358124,211.90000000000003,238.05
41,2호선,231,신대방,37.487519,126.913282,187.1,239.79999999999998
42,2호선,232,구로디지털단지,37.485215,126.901594,177.55,266.1
43,2호선,233,대림,37.4954266,126.9001326,198.35,266.70000000000005
44,2호선,234,신도림,37.5092011,126.8825748,216.1,236.15000000000003
45,2호선,235,문래,37.516637,126.891505,199.05,280.79999999999995
46,2호선,236,영등포구청,37.5248203,126.8959946,196.54999999999998,276.65
47,2호선,237,당산,37.5364736,126.9040058,196.1,273.40000000000003
48,2호선,238,합정,37.5469703,126.9089828,184.2,251.15000000000003
49,2호선,239,홍대입구,37.557527,126.9244669,166.5,229.70000000000002
50,2호선,240,신촌(지하),37.5550592,126.9364998,161.54999999999998,249.3
51,2호선,241,이대,37.556761,126.945857,164.8,252.35
52,2호선,242,아현,37.557382,126.956083,174.75,256.15
53,2호선,243,충정로,37.562683,126.9645745,175.75,265.6
54,2호선,244,용답,37.562178,127.050853,114.1,122.05
55,2호선,245,신답,37.569889,127.04701,102.15,109.0
56,2호선,246,신설동,37.5749456,127.0255567,56.05,28.55
57,2호선,247,도림천,37.51447,126.88264,139.5,217.15000000000003
58,2호선,248,양천구청,37.512322,126.86563299999996,137.3,183.75
59,2호선,249,신정네거리,37.520209,126.852796,105.6,132.54999999999998
60,2호선,250,용두,37.573927,127.038653,86.19999999999999,99.5
61,2호선,260,까치산,37.5317675,126.8467055,47.4,56.699999999999996
62,2호선,9001,성수E,37.544577,127.055991,64.95,107.95
63,2호선,9002,성수,37.5406846,127.0566319,22.1,100.4
64,2호선,9003,신도림,37.5092011,126.8825748,34.4,159.8
65,3호선,309,지축,37.64811400000001,126.913746,146.7,218.79999999999998
66,3호선,310,구파발,37.636581,126.91883299999998,106.6,138.75
67,3호선,311,연신내,37.618812,126.920842,123.30000000000001,158.2
68,3호선,312,불광,37.6191594,126.9355669,145.65,201.14999999999998
69,3호선,313,녹번,37.6046138,126.9323836,162.35000000000002,204.60000000000002
70,3호선,314,홍제,37.5928868,126.9489057,175.0,224.65
71,3호선,315,무악재,37.582634,126.950134,185.1,239.3
72,3호선,316,독립문,37.574453,126.957918,187.4,245.45000000000002
73,3호선,317,경복궁,37.575838,126.97358,185.25,272.5
74,3호선,318,안국,37.576556,126.985472,202.65,299.05
75,3호선,319,종로3가,37.570436,126.992148,199.7,281.75
76,3호선,320,을지로3가,37.566288,126.991051,169.05,259.95000000000005
77,3호선,321,충무로,37.5648394,126.9927416,186.8,247.60000000000002
78,3호선,322,동대입구,37.558306,127.00534199999998,177.64999999999998,267.20000000000005
79,3호선,323,약수,37.5513128,127.0109839,203.9,263.84999999999997
80,3호선,324,금호,37.54826,127.015789,211.5,288.5
81,3호선,325,옥수,37.5408564,127.0205647,223.2,294.95
82,3호선,326,압구정,37.5271478,127.0334517,198.75,324.15000000000003
83,3호선,327,신사,37.5162873,127.0200228,181.05,294.95
84,3호선,328,잠원,37.51296,127.011611,191.75,254.15
85,3호선,329,고속터미널,37.5049142,127.0049151,219.25,255.95
86,3호선,330,교대,37.4934705,127.01422849999996,180.8,274.25
87,3호선,331,남부터미널,37.484918,127.01629,149.20000000000002,233.95
88,3호선,332,양재,37.4719823,127.0374623,117.70000000000002,199.79999999999998
89,3호선,333,매봉,37.487035000000006,127.046918,113.9,155.65000000000003
90,3호선,334,도곡,37.4885906,127.0452757,109.10000000000001,132.35
91,3호선,335,대치,37.494569,127.063446,95.0,116.5
92,3호선,336,학여울,37.496683,127.070549,88.85000000000001,111.75
93,3호선,337,대청,37.493601,127.079526,83.49999999999999,104.55000000000001
94,3호선,338,일원,37.483869,127.084032,75.14999999999999,96.14999999999999
95,3호선,339,수서,37.4858752,127.0967179,69.25,88.3
96,3호선,340,가락시장,37.4923175,127.118104,66.35000000000001,76.0
97,3호선,341,경찰병원,37.495701,127.124206,41.35,53.95
